,fips,asian,blackp,hispanic,indian,island,multi,other,pop,whitep,income2018,error2018
0,01001,0.008587784720822415,0.17661371424382916,0.02399800260211468,0.00418777372597167,0.0006876546150886001,0.015752780781000897,0.00858076634109692,54571.0,0.7724069560755713,55499.25,12096.75
1,01003,0.007380188187529148,0.0939142018489562,0.04389610182975338,0.006660263901462157,0.0004221380956299893,0.014957633116615915,0.019869673277919515,182265.0,0.8351183222231365,56782.709677419356,9794.612903225807
2,01005,0.0038643333211931387,0.46900116545871734,0.050753651163637684,0.0041866554976872925,0.000981097716429326,0.009489929708271116,0.03260294278326109,27457.0,0.46747248424809706,33632.11111111111,7354.222222222223
3,01007,0.0008807767837660921,0.2198924721797949,0.017789657429631244,0.0026776783766092075,0.00038258782456905956,0.0089342352171067,0.008063888282784202,22915.0,0.7501547457996947,46878.5,12889.5
4,01009,0.002017218519939988,0.013326279613411958,0.08075974320505216,0.005299309165765325,0.0006903981019503856,0.011855657513694568,0.04094691392484561,57322.0,0.8888699277764209,48241.88888888889,8098.888888888889
5,01011,0.0019521715228147335,0.7021295583654024,0.07112900861279091,0.0023492761590617555,0.003904343045629467,0.007566794942275976,0.05246380795308777,10914.0,0.21921953454278906,32002.0,10769.333333333334
6,01013,0.008381438869527856,0.43426662529240456,0.009232873442497734,0.0030083066787606823,0.0004285577887048265,0.007851434572969877,0.0022532104836014708,20947.0,0.5406389936506419,41375.555555555555,10096.888888888889
7,01015,0.00704675640117397,0.20567912323314108,0.03289020173396755,0.004626775292649192,0.0007071990014505955,0.016761402354687448,0.01592618830752623,118572.0,0.7360852646493272,41283.46428571428,7563.321428571428
8,01017,0.004904574017243899,0.3875159725266696,0.015703434166301333,0.002050211895367529,0.00019938623410784744,0.011216308636562911,0.006221569487067076,34215.0,0.5812473768814848,38083.88888888889,8459.555555555555
9,01019,0.002325099080380161,0.04640659509792605,0.012244834352995499,0.005110123513794298,0.0,0.014791488706760553,0.0046619723729270065,25989.0,0.9208567470853053,41326.166666666664,7340.333333333333
10,01021,0.0028388286781385334,0.09711600944023097,0.07832859794239626,0.0036492908370185364,0.0013077240336365511,0.011788488417386526,0.04233480741470568,43643.0,0.8110571454757921,46167.333333333336,11049.333333333334
11,01023,0.0009181759145681506,0.4338064795439786,0.005116242153113501,0.0015488852009524498,0.0,0.0038680279962479253,0.0018756043004545784,13859.0,0.5554547225629555,35658.0,6473.5
12,01025,0.0029465412456934925,0.4388433786242403,0.010524058374946773,0.003973173847404483,0.0,0.006672008671079627,0.0026199821933186236,25833.0,0.5396386404985871,34991.11111111111,9872.666666666666
13,01027,0.0017171978179730118,0.1484404249210451,0.028588573069193227,0.004022968705139248,0.0,0.01677318403674993,0.012241745621590585,13932.0,0.802846109675567,39720.0,10284.75
14,01029,0.0015058108469142401,0.03329762222815923,0.020292412503339567,0.003231565589099653,0.0007373764360138925,0.010558576008549292,0.010198837830617154,14972.0,0.9320306572268234,39251.75,8213.75
15,01031,0.012862196684551935,0.16741885560983422,0.06361029470649476,0.013002182269560342,0.0018653599743733483,0.02482792103787939,0.032392968687434937,49948.0,0.7234099463441979,49224.92857142857,5714.928571428572
16,01033,0.004221503637833467,0.16117941133240246,0.020163077827588746,0.004927224957742338,0.00032518189167340337,0.015574483721613875,0.009407639450282945,54428.0,0.796167028000294,46159.357142857145,8153.642857142857
17,01035,0.0011528575748412458,0.4649287118234049,0.012099259147263381,0.0034748261263985486,0.0,0.009749244027819775,0.007425763531902025,13228.0,0.5111527063804052,31845.4,5446.6
18,01037,0.0016336770950688968,0.3103166652222897,0.019775197157465983,0.003389808475604472,0.0012673541901377936,0.009075483144119942,0.01155230089262501,11539.0,0.659107548314412,39173.666666666664,6250.333333333333
19,01039,0.003982497021051239,0.12482504964914604,0.012801562293128559,0.005475122467893552,0.0,0.014010141665563355,0.003597166688732954,37765.0,0.8407304117569179,40966.57142857143,7912.071428571428
20,01041,0.013730044585071193,0.23397547821084425,0.014919027757802388,0.003998417949086726,0.0005478210844239897,0.014533366891989067,0.007169063713504962,13906.0,0.7206071479936719,39265.333333333336,9518.666666666666
21,01043,0.004320709897271348,0.010645051364326044,0.04294575031714052,0.0051635450090789245,0.00015253836778349875,0.011054374051687686,0.02192802775912245,80406.0,0.9272884237494714,44145.0,7455.055555555556
22,01045,0.0105905554118326,0.1926405046665738,0.0560142882728702,0.007319018526994488,0.0006575391534496825,0.029893932459055538,0.017422996557282442,50251.0,0.7104840898688585,46274.92857142857,8430.642857142857
23,01047,0.003386695572797809,0.69438637608398,0.007123048836147879,0.002046850753080785,0.00026942035600182565,0.006742925604746691,0.0018951163852122315,43820.0,0.28936430853491557,34101.73333333333,8707.466666666667
24,01049,0.0028133991477872003,0.01536390611596282,0.1363077106976614,0.013721033905694074,0.001977949345371191,0.022139251009014326,0.09921900181411634,71109.0,0.815543095810657,39996.42857142857,7347.357142857143
25,01051,0.006487572979584632,0.20053680188643558,0.026915148228944683,0.00378086579322346,0.0007042356531278766,0.01450178429567608,0.01173694563887873,79303.0,0.7496269371902703,59740.2,11188.066666666668
26,01053,0.002405099297998382,0.3190219734335447,0.018644093008690205,0.033680811085884284,0.00031496124637908087,0.015171846864479761,0.009055246744434874,38319.0,0.6136933897022364,35247.0,7873.777777777777
27,01055,0.006487206741357847,0.15137620415589392,0.03302610361007373,0.004355405534808006,0.0016028057071722686,0.014790950876185004,0.018842372881355932,104430.0,0.7927967346547927,40928.0,7700.633333333333
